Manufacturer,Model,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,Safety_Rating,Units_Sold_2024,Warranty_Years
0,160,7,55.8,214,2,9.0,111203.94,30,36,0.0,5.0,19726,3
23,136,7,90.8,212,14,7.3,127131.65,53,21,2.0,4.0,3349,3
33,33,1,64.7,235,6,8.9,94347.37,1,36,5.0,5.0,6300,5
1,170,5,120.5,140,12,10.5,75615.15,47,0,2.0,5.0,2339,5
0,160,7,51.8,336,10,3.6,141046.94,23,38,2.0,3.0,1051,4
51,54,5,138.7,390,7,2.9,89907.75,42,1,2.0,5.0,8609,5
21,135,9,67.1,170,15,1.5,35653.97,34,32,5.0,5.0,12504,5
6,130,3,131.9,105,1,8.3,94436.44,4,20,5.0,5.0,8630,5
8,179,0,33.8,420,11,10.2,90919.55,31,32,1.0,5.0,18,5
41,114,13,140.8,549,11,3.3,58904.59,29,36,1.0,5.0,17455,3
49,76,3,41.5,370,13,11.6,141469.62,46,8,3.0,4.0,16959,4
20,69,13,64.0,401,12,7.3,30862.9,12,30,0.0,4.0,7798,4
32,106,3,37.2,578,15,3.3,86756.75,48,8,0.0,4.0,15303,5
2,178,2,32.8,306,7,9.7,43112.28,31,8,1.0,3.0,2470,4
10,49,2,149.9,528,5,11.6,141164.04,41,3,3.0,3.0,5394,4
46,111,0,121.9,332,11,5.4,144878.12,6,38,3.0,3.0,18978,5
29,63,4,26.5,344,8,1.2,90939.42,41,23,3.0,4.0,3928,5
38,126,13,74.5,398,7,11.2,54511.1,12,12,3.0,4.0,10360,3
46,111,14,149.5,137,4,6.3,45894.79,49,6,2.0,5.0,9912,5
10,49,1,92.1,577,1,11.3,46114.93,34,10,1.0,5.0,11235,3
44,40,3,83.5,563,6,1.6,80829.09,4,18,1.0,4.0,5294,5
15,42,3,21.3,138,2,6.8,130151.4,27,38,1.0,3.0,11724,3
44,43,13,66.0,386,13,11.7,119937.31,17,21,1.0,3.0,10885,4
10,49,11,122.4,155,10,10.5,133031.19,14,8,3.0,3.0,7304,3
32,107,12,56.2,135,0,4.5,91128.68,45,27,0.0,3.0,19024,4
7,9,9,64.9,502,7,5.5,148108.3,34,13,1.0,3.0,17036,5
44,40,5,67.3,135,7,7.7,109606.5,34,24,5.0,4.0,18166,3
26,93,9,108.1,562,8,7.6,66113.98,28,37,1.0,5.0,10559,4
15,59,5,86.5,506,8,8.1,64054.37,24,9,1.0,3.0,4828,3
7,8,14,130.5,137,14,5.3,105571.85,31,13,1.0,3.0,13931,3
39,12,3,52.4,534,1,5.7,126169.99,24,29,4.0,4.0,16540,4
23,86,7,132.0,330,0,9.1,130783.55,4,29,1.0,4.0,9362,3
47,88,0,90.2,170,2,3.2,113273.98,12,33,1.0,4.0,2040,3
24,95,7,22.5,550,10,6.0,143129.0,25,13,3.0,5.0,7226,4
50,37,10,23.8,272,10,8.8,130860.68,20,9,3.0,3.0,14044,3
6,140,6,69.3,208,14,4.3,121347.56,1,25,3.0,3.0,635,5
29,63,5,104.5,499,6,9.2,143953.41,31,11,1.0,5.0,7142,4
43,5,11,98.8,593,1,9.4,49651.9,25,10,2.0,4.0,12997,5
26,91,7,128.0,224,1,8.5,66189.92,45,15,4.0,4.0,12142,3
27,99,1,74.6,350,1,5.5,73462.56,50,1,3.0,5.0,8850,5
