Manufacturer,Model,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,Safety_Rating,Units_Sold_2024,Warranty_Years
0,160,7,55.8,214,2,9.0,0.5943072615719546,30,36,0.0,5.0,1.6495375951083695,3
23,136,7,90.8,212,14,7.3,1.0539973564295781,53,21,2.0,4.0,-1.1884373810619702,3
33,33,1,64.7,235,6,8.9,0.10780931162973571,1,36,5.0,5.0,-0.6770577538604879,5
1,170,5,120.5,140,12,10.5,-0.43282182672561337,47,0,2.0,5.0,-1.3634605675999223,5
0,160,7,51.8,336,10,3.6,1.4556069399837328,23,38,2.0,3.0,-1.5866584530067365,4
51,54,5,138.7,390,7,2.9,-0.020322688446345622,42,1,2.0,5.0,-0.27693048879501114,5
21,135,9,67.1,170,15,1.5,-1.5861425881421995,34,32,5.0,5.0,0.3980351662201609,5
6,130,3,131.9,105,1,8.3,0.1103799634528146,4,20,5.0,5.0,-0.27329139283729137,5
8,179,0,33.8,420,11,10.2,0.00887890035561932,31,32,1.0,5.0,-1.7656673160698104,5
41,114,13,140.8,549,11,3.3,-0.9151057778726404,29,36,1.0,5.0,1.2559953608235286,3
49,76,3,41.5,370,13,11.6,1.4678059195793192,46,8,3.0,4.0,1.170043380107861,4
20,69,13,64.0,401,12,7.3,-1.72441779674215,12,30,0.0,4.0,-0.41746890887647575,4
32,106,3,37.2,578,15,3.3,-0.11126378976576771,48,8,0.0,4.0,0.8830746702990997,5
2,178,2,32.8,306,7,9.7,-1.3708880894491946,31,8,1.0,3.0,-1.3407595404350987,4
10,49,2,149.9,528,5,11.6,1.4589865664402561,41,3,3.0,3.0,-0.8340587508935421,4
46,111,0,121.9,332,11,5.4,1.5661787357796526,6,38,3.0,3.0,1.5199164629000643,5
29,63,4,26.5,344,8,1.2,0.009452368995167559,41,23,3.0,4.0,-1.0881023067991242,5
38,126,13,74.5,398,7,11.2,-1.0419064186964637,12,12,3.0,4.0,0.026500797965339617,3
46,111,14,149.5,137,4,6.3,-1.2905819885820713,49,6,2.0,5.0,-0.05113324913268274,5
10,49,1,92.1,577,1,11.3,-1.2842285217320373,34,10,1.0,5.0,0.17812979620366454,3
44,40,3,83.5,563,6,1.6,-0.2823421549346303,4,18,1.0,4.0,-0.8513877792636364,5
15,42,3,21.3,138,2,6.8,1.1411504477368852,27,38,1.0,3.0,0.26286874493342555,3
44,43,13,66.0,386,13,11.7,0.8463613034729386,17,21,1.0,3.0,0.11747819690833457,4
10,49,11,122.4,155,10,10.5,1.2242641494724165,14,8,3.0,3.0,-0.5030743090247415,3
32,107,12,56.2,135,0,4.5,0.01491460728006548,45,27,0.0,3.0,1.5278878159503078,4
7,9,9,64.9,502,7,5.5,1.6594050533486688,34,13,1.0,3.0,1.1833867319528335,5
44,40,5,67.3,135,7,7.7,0.5482034999433611,34,24,5.0,4.0,1.3792047525348987,3
26,93,9,108.1,562,8,7.6,-0.7070353664346116,28,37,1.0,5.0,0.060985564421827225,4
15,59,5,86.5,506,8,8.1,-0.7664778296807222,24,9,1.0,3.0,-0.9321410514682757,3
7,8,14,130.5,137,14,5.3,0.4317593506452317,31,13,1.0,3.0,0.6453204010614062,3
39,12,3,52.4,534,1,5.7,1.026242859604813,24,29,4.0,4.0,1.0974347512371658,4
23,86,7,132.0,330,0,9.1,1.1593949470066642,4,29,1.0,4.0,-0.14644290516820127,3
47,88,0,90.2,170,2,3.2,0.6540507453470278,12,33,1.0,4.0,-1.415274362426504,3
24,95,7,22.5,550,10,6.0,1.5156973333233443,25,13,3.0,5.0,-0.516590951153415,4
50,37,10,23.8,272,10,8.8,1.1616209981474976,20,9,3.0,3.0,0.6649022031196128,3
6,140,6,69.3,208,14,4.3,0.8870625691459678,1,25,3.0,3.0,-1.6587472110263288,5
29,63,5,104.5,499,6,9.2,1.5394906539640123,31,11,1.0,5.0,-0.5311473349842942,4
43,5,11,98.8,593,1,9.4,-1.182147929179274,25,10,2.0,4.0,0.4834672760847257,5
26,91,7,128.0,224,1,8.5,-0.7048436599178877,45,15,4.0,4.0,0.3353040835204196,3
27,99,1,74.6,350,1,5.5,-0.4949477884168779,50,1,3.0,5.0,-0.23516753042308394,5
